og_coord,astar_coord,dist
"(4128.0, 1664.0)","(3888.0, 1920.0)",528.0
"(2752.0, 976.0)","(2464.0, 768.0)",528.0
"(1952.0, 2992.0)","(1552.0, 3088.0)",528.0
"(2816.0, 912.0)","(2464.0, 768.0)",528.0
"(3424.0, 3360.0)","(2992.0, 3424.0)",528.0
"(4000.0, 2640.0)","(3680.0, 2464.0)",528.0
"(1984.0, 3008.0)","(1552.0, 3088.0)",544.0
"(1952.0, 2752.0)","(2240.0, 2528.0)",544.0
"(2592.0, 2688.0)","(2240.0, 2528.0)",544.0
"(2224.0, 3024.0)","(2240.0, 2528.0)",544.0
"(2144.0, 3248.0)","(2304.0, 3600.0)",544.0
"(4112.0, 1632.0)","(3888.0, 1920.0)",544.0
"(3424.0, 3344.0)","(2992.0, 3424.0)",544.0
"(2080.0, 2880.0)","(2240.0, 2528.0)",544.0
"(2048.0, 3072.0)","(1552.0, 3088.0)",544.0
"(2320.0, 3088.0)","(2304.0, 3600.0)",560.0
"(2112.0, 3264.0)","(2304.0, 3600.0)",560.0
"(2768.0, 992.0)","(2464.0, 768.0)",560.0
"(3312.0, 3216.0)","(2992.0, 3424.0)",560.0
"(2256.0, 3040.0)","(2240.0, 2528.0)",560.0
"(4208.0, 1712.0)","(3888.0, 1920.0)",560.0
"(2208.0, 3024.0)","(2240.0, 2528.0)",560.0
"(2048.0, 2880.0)","(2240.0, 2528.0)",576.0
"(2176.0, 3184.0)","(2304.0, 3600.0)",576.0
"(2048.0, 2880.0)","(2240.0, 2528.0)",576.0
"(2368.0, 2944.0)","(2240.0, 2528.0)",576.0
"(1088.0, 3008.0)","(1552.0, 3088.0)",576.0
"(2112.0, 3248.0)","(2304.0, 3600.0)",576.0
"(2160.0, 3200.0)","(2304.0, 3600.0)",576.0
"(2128.0, 3232.0)","(2304.0, 3600.0)",576.0
"(4128.0, 2576.0)","(3680.0, 2464.0)",592.0
"(4128.0, 1696.0)","(3888.0, 1920.0)",592.0
"(2064.0, 3040.0)","(1552.0, 3088.0)",592.0
"(2208.0, 3136.0)","(2304.0, 3600.0)",592.0
"(4016.0, 2688.0)","(3680.0, 2464.0)",592.0
"(2624.0, 2704.0)","(2240.0, 2528.0)",592.0
"(2384.0, 2944.0)","(2240.0, 2528.0)",592.0
"(2816.0, 976.0)","(3024.0, 1328.0)",592.0
"(3984.0, 1200.0)","(3536.0, 1088.0)",592.0
"(3664.0, 3008.0)","(3680.0, 2464.0)",592.0
"(1744.0, 3456.0)","(1552.0, 3088.0)",592.0
"(4144.0, 1696.0)","(3888.0, 1920.0)",592.0
"(1776.0, 3440.0)","(1552.0, 3088.0)",608.0
"(4080.0, 2640.0)","(3680.0, 2464.0)",608.0
"(4112.0, 2608.0)","(3680.0, 2464.0)",608.0
"(4112.0, 2608.0)","(3680.0, 2464.0)",608.0
"(3984.0, 1216.0)","(3536.0, 1088.0)",608.0
"(1072.0, 2992.0)","(1552.0, 3088.0)",608.0
"(4176.0, 1632.0)","(3888.0, 1920.0)",608.0
"(1088.0, 2976.0)","(1552.0, 3088.0)",608.0
"(2192.0, 3056.0)","(2240.0, 2528.0)",608.0
"(2128.0, 3200.0)","(2304.0, 3600.0)",608.0
"(2224.0, 3088.0)","(2304.0, 3600.0)",624.0
"(1056.0, 2992.0)","(1552.0, 3088.0)",624.0
"(4000.0, 1216.0)","(3536.0, 1088.0)",624.0
"(4016.0, 2720.0)","(3680.0, 2464.0)",624.0
"(4016.0, 1200.0)","(3536.0, 1088.0)",624.0
"(4192.0, 1680.0)","(3888.0, 1920.0)",624.0
"(1040.0, 3008.0)","(1552.0, 3088.0)",624.0
"(4112.0, 2624.0)","(3680.0, 2464.0)",624.0
"(4192.0, 1680.0)","(3888.0, 1920.0)",624.0
"(4032.0, 1200.0)","(3536.0, 1088.0)",640.0
"(1056.0, 2976.0)","(1552.0, 3088.0)",640.0
"(4000.0, 2752.0)","(3680.0, 2464.0)",640.0
"(1968.0, 752.0)","(2464.0, 768.0)",640.0
"(4096.0, 1152.0)","(3536.0, 1088.0)",656.0
"(4080.0, 2688.0)","(3680.0, 2464.0)",656.0
"(4160.0, 2608.0)","(3680.0, 2464.0)",656.0
"(2128.0, 3152.0)","(2304.0, 3600.0)",656.0
"(3968.0, 2816.0)","(3680.0, 2464.0)",672.0
"(1024.0, 2976.0)","(1552.0, 3088.0)",672.0
"(3328.0, 3728.0)","(2992.0, 3424.0)",672.0
"(3360.0, 3696.0)","(2992.0, 3424.0)",672.0
"(3088.0, 3968.0)","(2992.0, 3424.0)",672.0
"(1792.0, 3488.0)","(1552.0, 3088.0)",672.0
"(4112.0, 2672.0)","(3680.0, 2464.0)",672.0
"(4032.0, 1248.0)","(3536.0, 1088.0)",688.0
"(4064.0, 1216.0)","(3536.0, 1088.0)",688.0
