og_coord,starfish_coord,dist
"(3252.0, 356.0)","(3325.0, 390.0)",80.529
"(1585.0, 599.0)","(1544.0, 529.0)",81.123
"(1043.0, 263.0)","(1009.0, 189.0)",81.437
"(1371.0, 80.0)","(1347.0, 2.0)",81.609
"(1265.0, 215.0)","(1345.0, 196.0)",82.225
"(587.0, 209.0)","(534.0, 272.0)",82.329
"(3343.0, 3653.0)","(3311.0, 3729.0)",82.462
"(1402.0, 1583.0)","(1355.0, 1515.0)",82.662
"(1734.0, 2575.0)","(1654.0, 2597.0)",82.97
"(2571.0, 3737.0)","(2511.0, 3797.0)",84.853
"(2597.0, 2029.0)","(2673.0, 1991.0)",84.971
"(2209.0, 1452.0)","(2294.0, 1450.0)",85.024
"(1079.0, 520.0)","(1012.0, 573.0)",85.428
"(3577.0, 1976.0)","(3494.0, 1999.0)",86.128
"(2310.0, 3557.0)","(2241.0, 3610.0)",87.006
"(1631.0, 262.0)","(1550.0, 230.0)",87.092
"(1735.0, 244.0)","(1816.0, 210.0)",87.846
"(3188.0, 1830.0)","(3246.0, 1896.0)",87.864
"(1316.0, 1594.0)","(1355.0, 1515.0)",88.102
"(2613.0, 2334.0)","(2690.0, 2291.0)",88.193
"(3216.0, 1979.0)","(3246.0, 1896.0)",88.255
"(3034.0, 3318.0)","(3095.0, 3382.0)",88.414
"(713.0, 474.0)","(695.0, 561.0)",88.843
"(2510.0, 3708.0)","(2511.0, 3797.0)",89.006
"(637.0, 1070.0)","(548.0, 1072.0)",89.022
"(770.0, 887.0)","(740.0, 971.0)",89.196
"(3000.0, 3481.0)","(2919.0, 3442.0)",89.9
"(2270.0, 2391.0)","(2243.0, 2477.0)",90.139
"(1255.0, 190.0)","(1345.0, 196.0)",90.2
"(629.0, 1112.0)","(548.0, 1072.0)",90.338
"(2110.0, 1578.0)","(2098.0, 1488.0)",90.796
"(2284.0, 3530.0)","(2241.0, 3610.0)",90.824
"(2758.0, 1855.0)","(2679.0, 1810.0)",90.918
"(2079.0, 2842.0)","(2150.0, 2785.0)",91.049
"(1922.0, 1754.0)","(1916.0, 1663.0)",91.198
"(2864.0, 3121.0)","(2792.0, 3065.0)",91.214
"(1751.0, 469.0)","(1676.0, 521.0)",91.263
"(946.0, 32.0)","(985.0, 115.0)",91.706
"(2203.0, 1413.0)","(2204.0, 1321.0)",92.005
"(3236.0, 2006.0)","(3263.0, 2094.0)",92.049
"(2912.0, 28.0)","(2820.0, 31.0)",92.049
"(3307.0, 2530.0)","(3389.0, 2574.0)",93.059
"(2657.0, 3055.0)","(2583.0, 3113.0)",94.021
"(2254.0, 2879.0)","(2323.0, 2815.0)",94.112
"(3481.0, 2553.0)","(3389.0, 2574.0)",94.366
"(2361.0, 3518.0)","(2419.0, 3442.0)",95.603
"(836.0, 973.0)","(740.0, 971.0)",96.021
"(2060.0, 2820.0)","(2150.0, 2785.0)",96.566
"(1563.0, 826.0)","(1563.0, 924.0)",98.0
"(2985.0, 67.0)","(3066.0, 11.0)",98.473
"(1342.0, 2122.0)","(1256.0, 2073.0)",98.98
"(2965.0, 1939.0)","(2968.0, 2038.0)",99.045
"(3035.0, 3303.0)","(3095.0, 3382.0)",99.202
"(3332.0, 2166.0)","(3263.0, 2094.0)",99.725
"(1621.0, 1039.0)","(1594.0, 1135.0)",99.725
"(2784.0, 124.0)","(2820.0, 31.0)",99.725
"(646.0, 1053.0)","(548.0, 1072.0)",99.825
"(584.0, 1753.0)","(676.0, 1714.0)",99.925
"(3450.0, 2494.0)","(3389.0, 2574.0)",100.603
"(3121.0, 3534.0)","(3220.0, 3516.0)",100.623
"(2557.0, 1932.0)","(2658.0, 1936.0)",101.079
"(1748.0, 450.0)","(1676.0, 521.0)",101.119
"(3350.0, 3635.0)","(3311.0, 3729.0)",101.769
