og_coord,closest_coord,dist
"(2114.345, 3254.707)","(2116.452, 3275.081)",20.483
"(2766.109, 1519.63)","(2755.414, 1502.103)",20.532
"(2755.414, 1502.103)","(2766.109, 1519.63)",20.532
"(1777.824, 3010.392)","(1798.393, 3011.19)",20.584
"(2568.851, 4040.851)","(2556.5, 4024.25)",20.692
"(2556.5, 4024.25)","(2568.851, 4040.851)",20.692
"(1367.375, 3111.857)","(1376.614, 3093.125)",20.887
"(1376.614, 3093.125)","(1367.375, 3111.857)",20.887
"(3332.704, 2210.469)","(3312.263, 2215.274)",20.998
"(3312.263, 2215.274)","(3332.704, 2210.469)",20.998
"(2237.013, 2939.329)","(2234.302, 2918.491)",21.014
"(4072.855, 1229.145)","(4063.953, 1248.234)",21.063
"(4063.953, 1248.234)","(4072.855, 1229.145)",21.063
"(3160.925, 2512.968)","(3140.156, 2517.469)",21.251
"(3140.156, 2517.469)","(3160.925, 2512.968)",21.251
"(3437.862, 2202.708)","(3416.704, 2204.802)",21.261
"(3416.704, 2204.802)","(3437.862, 2202.708)",21.261
"(4088.532, 1707.646)","(4107.242, 1697.468)",21.299
"(4107.242, 1697.468)","(4088.532, 1707.646)",21.299
"(2643.262, 2184.8)","(2664.83, 2186.309)",21.621
"(2664.83, 2186.309)","(2643.262, 2184.8)",21.621
"(4137.7, 1678.48)","(4140.0, 1700.0)",21.643
"(2525.0, 3997.0)","(2510.74, 4013.62)",21.899
"(1079.867, 2998.44)","(1058.0, 2996.5)",21.953
"(3073.451, 3646.817)","(3060.5, 3629.0)",22.027
"(3060.5, 3629.0)","(3073.451, 3646.817)",22.027
"(383.057, 2928.851)","(361.89, 2922.233)",22.177
"(2972.348, 3061.364)","(2956.887, 3077.597)",22.418
"(2956.887, 3077.597)","(2972.348, 3061.364)",22.418
"(3428.899, 3374.536)","(3436.5, 3395.676)",22.465
"(3436.5, 3395.676)","(3428.899, 3374.536)",22.465
"(3234.029, 1050.059)","(3255.829, 1044.386)",22.526
"(3255.829, 1044.386)","(3234.029, 1050.059)",22.526
"(3362.345, 3738.172)","(3340.913, 3730.946)",22.617
"(3340.913, 3730.946)","(3362.345, 3738.172)",22.617
"(2205.909, 756.242)","(2222.25, 772.0)",22.701
"(3027.776, 2438.697)","(3037.901, 2459.099)",22.776
"(4169.415, 1781.321)","(4158.304, 1801.232)",22.801
"(4158.304, 1801.232)","(4169.415, 1781.321)",22.801
"(2992.0, 4084.0)","(2992.5, 4106.846)",22.851
"(2992.5, 4106.846)","(2992.0, 4084.0)",22.851
"(3051.233, 2483.674)","(3030.084, 2474.988)",22.863
"(3288.679, 2911.642)","(3268.022, 2922.087)",23.148
"(3268.022, 2922.087)","(3288.679, 2911.642)",23.148
"(1037.371, 2983.048)","(1060.606, 2984.845)",23.304
"(2236.35, 753.15)","(2222.25, 772.0)",23.54
"(4040.298, 1248.202)","(4063.953, 1248.234)",23.655
"(3996.474, 2407.211)","(3972.769, 2405.846)",23.744
"(2009.946, 2728.913)","(2012.44, 2705.29)",23.754
"(2012.44, 2705.29)","(2009.946, 2728.913)",23.754
"(4119.648, 2122.887)","(4121.854, 2099.146)",23.843
"(4121.854, 2099.146)","(4119.648, 2122.887)",23.843
"(3766.0, 2220.185)","(3784.2, 2235.892)",24.041
"(3876.4, 3035.6)","(3862.958, 3015.472)",24.204
"(3862.958, 3015.472)","(3876.4, 3035.6)",24.204
"(260.386, 2958.265)","(275.8, 2977.267)",24.468
"(275.8, 2977.267)","(260.386, 2958.265)",24.468
"(769.073, 3103.615)","(744.929, 3098.0)",24.788
"(744.929, 3098.0)","(769.073, 3103.615)",24.788
"(4658.377, 2984.519)","(4676.051, 2967.114)",24.805
"(4676.051, 2967.114)","(4658.377, 2984.519)",24.805
"(2825.205, 914.452)","(2801.5, 921.862)",24.836
"(4087.4, 2697.25)","(4110.123, 2707.644)",24.987
"(3265.022, 2540.775)","(3246.938, 2523.519)",24.996
"(3385.771, 3729.084)","(3362.345, 3738.172)",25.127
"(4307.861, 3053.365)","(4331.785, 3061.431)",25.247
"(3186.065, 1095.407)","(3164.521, 1082.113)",25.315
"(1376.353, 3180.047)","(1387.562, 3202.762)",25.33
"(3128.225, 2862.873)","(3151.74, 2872.5)",25.409
"(3151.74, 2872.5)","(3128.225, 2862.873)",25.409
"(4114.547, 1870.667)","(4136.0, 1857.0)",25.437
"(2664.0, 914.929)","(2689.4, 913.25)",25.455
