ID,X,Y
151,3245,2671
152,3252,2645
153,6109.918033,788.6557377
154,2912.754098,1701.213115
155,3155,2803
156,2916,1629
157,3272,2684
158,3302,2620
159,3944.295082,1493.065574
160,2077,3541
161,2087,3530
162,4023.377049,1432.180328
163,4985.442623,788.0491803
164,4465,289
165,3792,2103
166,889,6266
167,3083.42623,2426.819672
168,2521,2410
169,3084.934426,2408.885246
170,4695.983871,1006.354839
171,3073.112903,2337.403226
172,4730.064516,1071.032258
173,1983.129032,2780.145161
174,4685.888889,921.6666667
175,4728.904762,965.9047619
176,2953,1584.126984
177,3763.063492,1915.301587
178,5344.52381,838.0634921
179,5244.890625,1092.8125
180,2534.609375,3212.46875
181,6035.15625,995.9375
182,5979,523.5
183,1261.875,3996.34375
184,4130.828125,1610.640625
185,5197.171875,496.09375
186,2552.046875,3185.234375
187,4052.234375,1434.953125
188,5589.125,1029.265625
189,1250.890625,3980.59375
190,6041.375,534.078125
191,1558.107692,4761.2
192,2108.876923,3099
193,3252.292308,1512.476923
194,5149.538462,1132.307692
195,2966.892308,1620.8
196,3295.307692,2583.092308
197,4724.184615,1141
198,6015,571.1846154
199,2523.924242,3150.712121
200,5172.060606,467.0909091
201,2102.136364,3073.863636
202,4807.272727,1018.272727
203,3067.5,2189.5
204,5342.681818,566.3787879
205,857.8484848,5238.939394
206,4968.984848,812.3181818
207,3069.060606,1925.909091
208,2313.136364,2645.136364
209,2945.5,1654
210,5988.621212,629.0606061
211,4024.119403,1420
212,3476,2609.880597
213,1344,4301.880597
214,743.119403,5989
215,1591.970149,3180.970149
216,1267.880597,4870.656716
217,1309.089552,4251.089552
218,4745.671642,999.0149254
219,5004.641791,783.5970149
220,5454.044776,1233.552239
221,3974,1776.880597
222,2820.176471,3083.264706
223,3110.073529,2433.882353
224,2700.235294,3076.029412
225,2923.382353,2415.705882
226,3388.044118,2629.25
227,1545.029412,4035.058824
228,2583.441176,3313.661765
229,6117.838235,882.9117647
230,2071.044118,2887.25
231,3307.588235,1883.279412
232,3780.794118,1884.838235
233,2701,3286
234,2361,3425
235,2385,3430
236,2417,3414
237,3465.768116,1613.26087
238,2699,3299
239,4639.434783,988.5072464
240,3979.304348,1419.231884
241,2853.347826,2991
242,4671.782609,945.5652174
243,3052,2129
244,3356.072464,1346.173913
245,1788,4405
246,2913.942029,2722.898551
247,1813,4429
248,1676,3805
249,1750.652174,4359.130435
250,2129.042857,3275.057143
251,5251.4,520.1714286
252,1948.685714,2901.485714
253,2845.742857,3056.028571
254,719.9428571,5962.042857
255,2035.585714,2946.414286
256,1075.985915,4504.859155
257,1318.535211,4284.140845
258,3336.112676,1984.647887
259,802.5633803,5995.014085
260,3138.208333,2315.833333
261,3425.833333,2581.263889
262,3797.611111,1906.305556
263,3976.5,1492.75
264,3425.452055,2622.849315
265,1586.369863,4691.506849
266,1704.027397,3762.438356
267,879.3287671,4926.671233
268,1547.689189,4917.378378
269,2884.648649,3099
270,2117.081081,2829.594595
271,4727.702703,927.0945946
272,4984.013514,826.6891892
273,772.5405405,5829.5
274,4006.094595,1392.702703
275,1209.297297,3952.27027
276,3959.44,1474.666667
277,2189.373333,3031.386667
278,2128.733333,3061.44
279,4696.866667,1022.666667
280,1051.666667,5262.546667
281,2391.697368,3106.223684
282,3914.763158,1440.671053
283,2117.447368,3045.276316
284,1256.539474,3967.171053
285,2551.697368,3139.263158
286,2063.921053,2914.302632
287,3269.394737,1528.697368
288,3451.973684,1556.105263
289,858.1842105,4858.631579
290,1022.789474,4638.302632
291,2134.302632,2885.776316
292,2632.844156,1961.558442
293,1701.753247,3748.363636
294,2311.350649,2669.818182
295,1526.272727,4955.25974
296,1485.948052,4981.467532
297,1573.935065,4737.376623
298,2376.818182,3178.350649
299,1898.025974,3458.441558
300,1484.311688,3695.25974
301,2150.597403,3251.012987
302,2940.077922,3054.766234
303,1138.307692,4889.205128
304,1297.615385,4225.871795
305,3998.410256,1764.461538
306,2803.012821,3104.384615
307,756.5,5894.923077
308,1502.291139,4998.506329
309,3346.43038,2639.379747
310,784.3797468,5941.936709
311,1003.632911,6192.632911
312,2194.544304,3046.544304
313,5198.367089,1098.632911
314,1027.45,5456.225
315,2849.3375,3087.05
316,2394.5875,3391.4125
317,1492.4625,4428.7875
318,3114.2,1838.575
319,6166.5,787.5
320,686.875,6412.3625
321,3541.4,1749.575
322,1025.716049,6198.592593
323,2496.530864,2467.135802
324,4478.814815,1372.518519
325,894.6296296,4749.62963
326,901.7283951,5353.098765
327,1326.62963,4837.938272
328,5428.530864,1252.703704
329,4612.231707,1098.012195
330,1302.463415,4820.646341
331,792.7926829,5974.268293
332,1334.426829,4824.853659
333,3010.5,1440
334,1511.707317,3850.560976
335,740.9634146,6129.573171
336,829.2073171,4864.902439
337,1488.890244,3827.670732
338,1093.5,4910
339,1212.463415,3935.085366
340,1533.614458,4769.192771
341,3849.337349,1609.277108
342,1269.26506,4825.891566
343,2133.626506,3094.518072
344,2082.807229,3069.216867
345,3018.361446,2521.445783
346,1648.277108,3814.975904
347,1588,4620
348,1630.349398,4587.650602
349,3088.939759,2310.373494
350,758.5,5787.880952
351,4030.357143,1776.857143
352,2157.166667,3061.678571
353,2378.261905,3199.72619
354,2033.27381,3024.678571
355,5582.376471,1066.376471
356,3033.529412,1951.129412
357,1472.741176,4944.823529
358,2982.952941,2646.258824
359,2807.741176,3116.223529
360,2264.482353,2661.811765
361,3127.569767,2407.22093
362,870.8837209,5270.790698
363,2791.569767,3010.081395
364,887.816092,6306.517241
365,1505.609195,4919.977011
366,1572.586207,4855.83908
367,2070.793103,2973.172414
368,1511.471264,3817.321839
369,760.6091954,5921.862069
370,1622.727273,3256.170455
371,1251.227273,4842.25
372,3087.375,1418.784091
373,3056.147727,2600.397727
374,1692.505618,3804.438202
375,863.6966292,5208.05618
376,2942.022472,2755.202247
377,884.6741573,5335.820225
378,1029.067416,5426.966292
379,3088.733333,1400.811111
380,4316.477778,1663.711111
381,1539.755556,4053.688889
382,934.2666667,5085.655556
383,2997.344444,2638.088889
384,1035.241758,3972.318681
385,854.7032967,4964.681319
386,1488.714286,4382.78022
387,3003,1417
388,730.7582418,5834.615385
389,1118.67033,4878.648352
390,1465.516484,3738.43956
391,794.9456522,6134.76087
392,1235.076087,4898.630435
393,1290.032609,4836.630435
394,2726.065217,3004.913043
395,1289.054348,4866.869565
396,1382.097826,4833.978261
397,1511.315217,4049.347826
398,1556.580645,3157.150538
399,2944.741935,3136.419355
400,1507.967742,3786.924731
401,1351.340426,4807.308511
402,931.0425532,4960.744681
403,1530.410526,4011.315789
404,909.9894737,5343.168421
405,804.8315789,5981.147368
406,2849.242105,3152.715789
407,2920.073684,3100.968421
408,2745.084211,3113.526316
409,905,5308.894737
410,3372.768421,1329.768421
411,1092.873684,4922.147368
412,2754.833333,3022.302083
413,772.7708333,5901.770833
414,1712.835052,3778
415,883.2886598,6324.237113
416,782.6082474,5130.752577
417,1493.989691,3795.896907
418,1585.061856,4666.989691
419,1486.154639,3996.216495
420,3347.670103,2682.298969
421,885.9072165,4776.979381
422,1581.581633,3991.193878
423,1597.070707,3444.909091
424,4046.747475,1757.080808
425,749.95,5958.36
426,969.15,5061.29
427,1496.03,4049.18
428,1492.87,3711.81
429,1625.980198,4627.841584
430,1654,4662
431,713.7029703,5831.782178
432,847.7623762,5231.930693
433,1461,3706.54902
434,731.8235294,5797.078431
435,1529.009709,4876.553398
436,471.631068,6466.048544
437,1096.23301,4876
438,2817.524272,3024.951456
439,1649.048544,4623.349515
440,833.447619,5975.019048
441,701.8,6058.171429
442,861.8285714,6292.019048
443,877.6698113,6302.509434
444,1419.396226,4807.877358
445,771.1588785,5943.626168
446,745.462963,5926.712963
447,1478.324074,4805.574074
448,726.7522936,5982.33945
449,1584.192661,4919
450,2790.872727,3121.636364
451,1537.018182,4998.327273
452,3100.709091,2402.836364
453,908.7090909,5325.436364
454,492.8738739,6486.054054
455,709.0720721,6369.513514
456,877.1842105,6271.026316
457,4663.368421,1017.263158
458,750.7142857,6014.672269
459,682.4715447,5796.01626
460,1779.84,4334.416
461,1004.464,6146.112
462,1520.889764,4928.362205
463,2914.069231,3147.561538
