og_coord,closest_coord,dist
"(4006.721, 4000.498)","(3987.163, 4009.388)",21.484
"(3987.163, 4009.388)","(4006.721, 4000.498)",21.484
"(3765.802, 2760.344)","(3787.138, 2757.677)",21.502
"(3787.138, 2757.677)","(3765.802, 2760.344)",21.502
"(2777.235, 4964.173)","(2760.344, 4950.838)",21.52
"(2915.029, 4233.416)","(2922.141, 4253.863)",21.649
"(784.987, 9851.004)","(772.541, 9833.224)",21.703
"(772.541, 9833.224)","(784.987, 9851.004)",21.703
"(4004.943, 5666.483)","(4000.498, 5645.147)",21.794
"(4000.498, 5645.147)","(4004.943, 5666.483)",21.794
"(1139.697, 8745.977)","(1161.033, 8741.532)",21.794
"(3103.497, 5145.529)","(3083.05, 5153.53)",21.957
"(3083.05, 5153.53)","(3103.497, 5145.529)",21.957
"(4761.481, 1799.335)","(4749.924, 1818.004)",21.957
"(4749.924, 1818.004)","(4761.481, 1799.335)",21.957
"(3990.719, 3139.946)","(3970.272, 3131.945)",21.957
"(3884.928, 4142.738)","(3862.703, 4141.849)",22.243
"(3862.703, 4141.849)","(3884.928, 4142.738)",22.243
"(3421.759, 2841.242)","(3419.981, 2863.467)",22.296
"(3419.981, 2863.467)","(3421.759, 2841.242)",22.296
"(3897.374, 4113.401)","(3917.821, 4122.291)",22.296
"(3917.821, 4122.291)","(3897.374, 4113.401)",22.296
"(3926.711, 4374.767)","(3923.155, 4352.542)",22.508
"(3923.155, 4352.542)","(3926.711, 4374.767)",22.508
"(4830.823, 1848.23)","(4834.379, 1826.005)",22.508
"(1603.755, 7518.269)","(1624.202, 7528.048)",22.665
"(1624.202, 7528.048)","(1603.755, 7518.269)",22.665
"(1231.264, 9644.756)","(1253.489, 9649.201)",22.665
"(1253.489, 9649.201)","(1231.264, 9644.756)",22.665
"(2072.258, 5877.176)","(2050.033, 5882.51)",22.856
"(2050.033, 5882.51)","(2072.258, 5877.176)",22.856
"(1036.573, 10000.356)","(1058.798, 10005.69)",22.856
"(3522.216, 5324.218)","(3511.548, 5303.771)",23.063
"(3511.548, 5303.771)","(3522.216, 5324.218)",23.063
"(3748.022, 2949.7)","(3725.797, 2943.477)",23.08
"(3725.797, 2943.477)","(3748.022, 2949.7)",23.08
"(1365.503, 8267.696)","(1377.949, 8287.254)",23.182
"(1377.949, 8287.254)","(1365.503, 8267.696)",23.182
"(4990.843, 1872.233)","(4987.287, 1895.347)",23.386
"(1223.263, 9666.981)","(1231.264, 9644.756)",23.621
"(1135.252, 8082.784)","(1127.251, 8105.009)",23.621
"(1127.251, 8105.009)","(1135.252, 8082.784)",23.621
"(4046.726, 2170.048)","(4027.168, 2156.713)",23.671
"(4027.168, 2156.713)","(4046.726, 2170.048)",23.671
"(4629.021, 2266.949)","(4646.8, 2282.951)",23.92
"(2020.696, 5844.283)","(2000.249, 5856.729)",23.937
"(2000.249, 5856.729)","(2020.696, 5844.283)",23.937
"(4834.379, 2028.697)","(4815.71, 2013.584)",24.019
"(4815.71, 2013.584)","(4834.379, 2028.697)",24.019
"(906.78, 9649.201)","(887.222, 9634.977)",24.183
"(3965.827, 5582.917)","(3946.269, 5597.141)",24.183
"(3946.269, 5597.141)","(3965.827, 5582.917)",24.183
"(1648.205, 7524.492)","(1624.202, 7528.048)",24.265
"(3820.92, 3827.143)","(3796.917, 3823.587)",24.265
"(4657.468, 2230.5)","(4637.021, 2243.835)",24.411
"(4183.632, 1301.495)","(4204.079, 1314.83)",24.411
"(4204.079, 1314.83)","(4183.632, 1301.495)",24.411
"(3915.154, 4096.51)","(3897.374, 4113.401)",24.524
"(1090.802, 9923.013)","(1085.468, 9947.016)",24.589
"(1085.468, 9947.016)","(1090.802, 9923.013)",24.589
"(1818.004, 6133.208)","(1794.001, 6138.542)",24.589
"(1794.001, 6138.542)","(1818.004, 6133.208)",24.589
"(1335.277, 7636.506)","(1311.274, 7641.84)",24.589
"(3000.373, 3816.475)","(2999.484, 3791.583)",24.908
"(2999.484, 3791.583)","(3000.373, 3816.475)",24.908
"(2890.137, 4236.972)","(2915.029, 4233.416)",25.145
"(3541.774, 5284.213)","(3557.776, 5303.771)",25.27
"(3557.776, 5303.771)","(3541.774, 5284.213)",25.27
"(3846.701, 4161.407)","(3862.703, 4141.849)",25.27
