og_coord,closest_coord,dist
"(2.399, 1.189)","(2.396, 1.218)",0.028
"(2.396, 1.218)","(2.399, 1.189)",0.028
"(2.049, 2.042)","(2.054, 2.07)",0.029
"(1.256, 1.896)","(1.265, 1.924)",0.029
"(1.346, 1.799)","(1.375, 1.802)",0.029
"(1.417, 2.291)","(1.399, 2.268)",0.029
"(1.411, 1.804)","(1.413, 1.775)",0.029
"(1.413, 1.775)","(1.411, 1.804)",0.029
"(2.052, 2.653)","(2.023, 2.657)",0.029
"(1.384, 2.489)","(1.377, 2.517)",0.03
"(1.377, 2.517)","(1.384, 2.489)",0.03
"(1.468, 1.144)","(1.497, 1.136)",0.03
"(2.485, 3.169)","(2.515, 3.166)",0.03
"(2.515, 3.166)","(2.485, 3.169)",0.03
"(3.088, 4.175)","(3.062, 4.189)",0.03
"(0.971, 0.721)","(0.966, 0.751)",0.03
"(0.966, 0.751)","(0.971, 0.721)",0.03
"(2.115, 2.582)","(2.119, 2.612)",0.03
"(2.119, 2.612)","(2.115, 2.582)",0.03
"(1.314, 1.845)","(1.342, 1.831)",0.03
"(0.942, 0.711)","(0.971, 0.721)",0.031
"(1.897, 1.416)","(1.912, 1.443)",0.031
"(1.912, 1.443)","(1.897, 1.416)",0.031
"(2.085, 2.656)","(2.079, 2.686)",0.031
"(2.079, 2.686)","(2.085, 2.656)",0.031
"(1.422, 1.966)","(1.396, 1.983)",0.031
"(1.396, 1.983)","(1.422, 1.966)",0.031
"(0.724, 0.472)","(0.725, 0.44)",0.031
"(0.725, 0.44)","(0.724, 0.472)",0.031
"(1.945, 1.831)","(1.915, 1.843)",0.031
"(1.356, 2.474)","(1.384, 2.489)",0.032
"(1.318, 1.904)","(1.288, 1.894)",0.032
"(1.768, 1.069)","(1.749, 1.096)",0.032
"(1.599, 1.278)","(1.608, 1.309)",0.032
"(2.346, 1.24)","(2.35, 1.272)",0.032
"(2.35, 1.272)","(2.346, 1.24)",0.032
"(1.781, 1.767)","(1.749, 1.761)",0.032
"(1.749, 1.761)","(1.781, 1.767)",0.032
"(1.319, 1.278)","(1.298, 1.254)",0.032
"(2.445, 1.182)","(2.431, 1.211)",0.032
"(1.631, 1.286)","(1.608, 1.309)",0.033
"(1.401, 2.016)","(1.396, 1.983)",0.033
"(0.916, 0.733)","(0.942, 0.711)",0.033
"(1.57, 1.261)","(1.599, 1.278)",0.034
"(1.338, 1.877)","(1.318, 1.904)",0.034
"(0.91, 0.699)","(0.942, 0.711)",0.034
"(1.775, 1.733)","(1.781, 1.767)",0.034
"(2.618, 4.12)","(2.586, 4.132)",0.034
"(2.586, 4.132)","(2.618, 4.12)",0.034
"(1.927, 1.909)","(1.949, 1.883)",0.034
"(2.032, 2.145)","(2.008, 2.169)",0.034
"(1.23, 1.821)","(1.231, 1.856)",0.034
"(2.13, 2.728)","(2.103, 2.705)",0.035
"(1.857, 2.083)","(1.85, 2.118)",0.035
"(1.874, 1.75)","(1.858, 1.781)",0.035
"(2.47, 3.2)","(2.485, 3.169)",0.035
"(1.343, 2.508)","(1.377, 2.517)",0.035
"(0.585, 1.176)","(0.55, 1.178)",0.035
"(2.283, 1.858)","(2.318, 1.851)",0.036
"(2.318, 1.851)","(2.283, 1.858)",0.036
"(0.754, 1.582)","(0.718, 1.575)",0.036
"(2.314, 1.264)","(2.35, 1.272)",0.037
"(1.865, 1.435)","(1.897, 1.416)",0.037
"(1.769, 1.572)","(1.798, 1.548)",0.037
"(1.822, 2.142)","(1.85, 2.118)",0.038
"(1.359, 1.989)","(1.361, 2.027)",0.038
"(1.361, 2.027)","(1.359, 1.989)",0.038
"(0.875, 0.855)","(0.905, 0.831)",0.038
"(0.905, 0.831)","(0.875, 0.855)",0.038
"(2.36, 1.19)","(2.399, 1.189)",0.039
"(1.739, 1.995)","(1.778, 1.996)",0.039
"(1.778, 1.996)","(1.739, 1.995)",0.039
"(2.0, 2.724)","(2.032, 2.7)",0.04
"(2.032, 2.7)","(2.0, 2.724)",0.04
"(1.221, 1.664)","(1.235, 1.701)",0.04
"(1.214, 2.508)","(1.193, 2.474)",0.04
"(1.193, 2.474)","(1.214, 2.508)",0.04
"(1.358, 1.267)","(1.319, 1.278)",0.04
"(3.355, 3.73)","(3.383, 3.76)",0.041
"(0.423, 1.038)","(0.386, 1.057)",0.041
